,job_title,department,salary,Join Date
2673,POLICE OFFICER,POLICE,$78012.0,2000-11-11 00:00:00
2674,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,$43740.0,2000-06-07 00:00:00
2675,POLICE OFFICER,POLICE,$65016.0,2000-01-01 00:00:00
2676,FIELD SANITATION SPECIALIST,STREETS & SAN,$72456.0,2000-11-03 00:00:00
2677,WARD SUPERINTENDENT,STREETS & SAN,$106884.0,2000-11-12 00:00:00
2678,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-06-24 00:00:00
2679,STAFF ASST,HEALTH,$64548.0,2000-10-28 00:00:00
2680,POLICE OFFICER,POLICE,$78012.0,2000-10-19 00:00:00
2681,POLICE OFFICER,POLICE,$83706.0,2000-12-06 00:00:00
2682,LIBRARY CLERK,PUBLIC LIBRARY,$48048.0,2000-11-24 00:00:00
2683,SANITATION LABORER,STREETS & SAN,$70969.6,2000-01-22 00:00:00
2684,SERGEANT,POLICE,$105864.0,2000-08-20 00:00:00
2685,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,$45828.0,2000-12-05 00:00:00
2686,POLICE OFFICER,POLICE,$80724.0,2000-12-04 00:00:00
2687,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-05-14 00:00:00
2688,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-09-13 00:00:00
2689,DETENTION AIDE,POLICE,$66552.0,2000-02-06 00:00:00
2690,ANIMAL CONTROL INSPECTOR,ANIMAL CONTRL,$57900.0,2000-11-08 00:00:00
2691,CROSSING GUARD,POLICE,$19000.8,2000-04-13 00:00:00
2692,DETENTION AIDE,POLICE,$46656.0,2000-08-18 00:00:00
2693,POLICE OFFICER,POLICE,$75372.0,2000-06-04 00:00:00
2694,LIBRARIAN II,PUBLIC LIBRARY,$76524.0,2000-03-19 00:00:00
2695,LOAD DISPATCHER,TRANSPORTN,$93288.0,2000-06-13 00:00:00
2696,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,$87228.0,2000-01-04 00:00:00
2697,POLICE OFFICER,POLICE,$80724.0,2000-02-08 00:00:00
2698,FIREFIGHTER-EMT,FIRE,$79140.0,2000-10-20 00:00:00
2699,CAPTAIN-EMT,FIRE,$117828.0,2000-10-16 00:00:00
2700,POLICE OFFICER,POLICE,$75372.0,2000-04-17 00:00:00
2701,OPERATING ENGINEER-GROUP A,WATER MGMNT,$96262.4,2000-10-16 00:00:00
2702,STREET LIGHT REPAIR WORKER,TRANSPORTN,$93288.0,2000-06-14 00:00:00
2703,FIRE ENGINEER-EMT,FIRE,$95076.0,2000-12-03 00:00:00
2704,DETENTION AIDE,POLICE,$57900.0,2000-07-05 00:00:00
2705,SANITATION LABORER,STREETS & SAN,$70969.6,2000-08-10 00:00:00
2706,CROSSING GUARD,POLICE,$17316.0,2000-12-07 00:00:00
2707,POLICE OFFICER,POLICE,$83706.0,2000-12-03 00:00:00
2708,POLICE OFFICER,POLICE,$75372.0,2000-11-02 00:00:00
2709,POLICE OFFICER,POLICE,$78012.0,2000-05-25 00:00:00
2710,SERGEANT,POLICE,$109278.0,2000-07-14 00:00:00
2711,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-09-02 00:00:00
2712,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,$55080.0,2000-12-18 00:00:00
2713,FIREFIGHTER,FIRE,$87324.0,2000-08-28 00:00:00
2714,FIREFIGHTER/PARAMEDIC,FIRE,$81018.0,2000-04-24 00:00:00
2715,POLICE OFFICER,POLICE,$83706.0,2000-04-12 00:00:00
2716,POLICE OFFICER,POLICE,$71748.0,2000-09-18 00:00:00
2717,POLICE OFFICER,POLICE,$78012.0,2000-10-14 00:00:00
2718,POLICE OFFICER,POLICE,$80724.0,2000-07-08 00:00:00
2719,GENERAL LABORER - DSS,STREETS & SAN,$41849.6,2000-04-26 00:00:00
2720,POLICE OFFICER,POLICE,$61530.0,2000-10-22 00:00:00
2721,POLICE OFFICER,POLICE,$78012.0,2000-05-20 00:00:00
2722,LIBRARY ASSOCIATE,PUBLIC LIBRARY,$59268.0,2000-07-08 00:00:00
2723,LIEUTENANT-EMT,FIRE,$101484.0,2000-10-04 00:00:00
2724,LIBRARIAN III,PUBLIC LIBRARY,$83640.0,2000-07-08 00:00:00
2725,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,$23628.8,2000-11-19 00:00:00
2726,SANITATION LABORER,STREETS & SAN,$70969.6,2000-12-05 00:00:00
2727,MOTOR TRUCK DRIVER,GENERAL SERVICES,$70408.0,2000-12-09 00:00:00
2728,LIEUTENANT,FIRE,$102978.0,2000-12-06 00:00:00
2729,POLICE OFFICER,POLICE,$80724.0,2000-07-20 00:00:00
2730,POLICE OFFICER,POLICE,$80724.0,2000-12-10 00:00:00
2731,POLICE OFFICER,POLICE,$61530.0,2000-09-07 00:00:00
2732,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-05-03 00:00:00
2733,CLERK CITY COUNCIL,CITY COUNCIL,$21840.0,2000-11-04 00:00:00
2734,POLICE OFFICER,POLICE,$78012.0,2000-05-13 00:00:00
2735,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-03-23 00:00:00
2736,LABORER,GENERAL SERVICES,$70969.6,2000-03-04 00:00:00
2737,DEPUTY COMPTROLLER,FINANCE,$121644.0,2000-06-01 00:00:00
2738,LIEUTENANT,FIRE,$102978.0,2000-03-03 00:00:00
2739,POLICE OFFICER,POLICE,$78012.0,2000-02-12 00:00:00
2740,SERGEANT,POLICE,$102564.0,2000-05-20 00:00:00
2741,SERGEANT,POLICE,$102564.0,2000-09-22 00:00:00
2742,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,$87918.0,2000-09-21 00:00:00
2743,POLICE OFFICER,POLICE,$80724.0,2000-09-21 00:00:00
2744,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-03-27 00:00:00
2745,EXECUTIVE SECRETARY II,COMMUNITY DEVELOPMENT,$60408.0,2000-05-18 00:00:00
2746,FIREFIGHTER,FIRE,$75372.0,2000-07-24 00:00:00
2747,POLICE OFFICER,POLICE,$83706.0,2000-01-04 00:00:00
2748,CLASSIFICATION & COMPENSATION ANALYST,HUMAN RESOURCES,$83100.0,2000-09-09 00:00:00
2749,RESIDENT SERVICES COORD I,FAMILY & SUPPORT,$51180.0,2000-06-24 00:00:00
2750,CROSSING GUARD,POLICE,$18148.0,2000-07-13 00:00:00
2751,FIREFIGHTER-EMT,FIRE,$81906.0,2000-04-03 00:00:00
2752,HOISTING ENGINEER,WATER MGMNT,$95888.0,2000-07-10 00:00:00
2753,POLICE FORENSIC INVESTIGATOR I,POLICE,$102978.0,2000-02-05 00:00:00
2754,FIRE COMMUNICATIONS OPERATOR I,OEMC,$64384.08,2000-05-21 00:00:00
2755,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-07-25 00:00:00
2756,POLICE OFFICER,POLICE,$83706.0,2000-01-25 00:00:00
2757,POLICE OFFICER,POLICE,$78012.0,2000-01-02 00:00:00
2758,POLICE OFFICER,POLICE,$75372.0,2000-12-16 00:00:00
2759,POLICE OFFICER,POLICE,$86130.0,2000-03-20 00:00:00
2760,POLICE OFFICER,POLICE,$61530.0,2000-03-11 00:00:00
2761,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-07-14 00:00:00
2762,POLICE OFFICER,POLICE,$80724.0,2000-12-04 00:00:00
2763,MOTOR TRUCK DRIVER,WATER MGMNT,$70408.0,2000-05-01 00:00:00
2764,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-03-18 00:00:00
2765,POLICE OFFICER,POLICE,$83706.0,2000-02-13 00:00:00
2766,DEPUTY COMMISSIONER,GENERAL SERVICES,$124992.0,2000-01-28 00:00:00
2767,SUPVSR OF AUDITING,FINANCE,$102708.0,2000-01-18 00:00:00
2768,CONCRETE LABORER,TRANSPORTN,$76960.0,2000-11-12 00:00:00
2769,CROSSING GUARD,POLICE,$18148.0,2000-05-10 00:00:00
2770,FIREFIGHTER-EMT,FIRE,$79140.0,2000-05-12 00:00:00
2771,AUDITOR I,FINANCE,$68616.0,2000-10-17 00:00:00
2772,POLICE OFFICER,POLICE,$61530.0,2000-03-21 00:00:00
2773,FIREFIGHTER-EMT,FIRE,$79140.0,2000-06-26 00:00:00
2774,SANITARIAN II,HEALTH,$63456.0,2000-02-08 00:00:00
2775,POOL MOTOR TRUCK DRIVER,AVIATION,$70408.0,2000-01-17 00:00:00
2776,FIRE ENGINEER-EMT,FIRE,$91740.0,2000-04-11 00:00:00
2777,POLICE AGENT,POLICE,$84756.0,2000-07-23 00:00:00
2778,PROJECT MANAGER,COMMUNITY DEVELOPMENT,$87600.0,2000-02-02 00:00:00
2779,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$90540.0,2000-10-01 00:00:00
2780,POLICE OFFICER,POLICE,$80724.0,2000-08-23 00:00:00
2781,LIBRARY PAGE,PUBLIC LIBRARY,$11044.8,2000-07-15 00:00:00
2782,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,$23628.8,2000-05-19 00:00:00
2783,POLICE OFFICER,POLICE,$75372.0,2000-06-04 00:00:00
2784,POLICE OFFICER,POLICE,$78012.0,2000-02-21 00:00:00
2785,TRAFFIC SIGNAL REPAIRMAN,TRANSPORTN,$93288.0,2000-04-22 00:00:00
2786,POLICE OFFICER,POLICE,$78012.0,2000-07-19 00:00:00
2787,SERGEANT,POLICE,$105864.0,2000-09-02 00:00:00
2788,FIREFIGHTER,FIRE,$83982.0,2000-02-19 00:00:00
2789,LABORER - APPRENTICE,WATER MGMNT,$53874.08,2000-09-12 00:00:00
2790,LIEUTENANT,FIRE,$93708.0,2000-02-01 00:00:00
2791,BATTALION CHIEF - EMT,FIRE,$132720.0,2000-03-02 00:00:00
2792,PLUMBING INSPECTOR,WATER MGMNT,$98028.0,2000-04-02 00:00:00
2793,PLUMBER,WATER MGMNT,$95784.0,2000-01-07 00:00:00
2794,LIEUTENANT,POLICE,$119076.0,2000-02-21 00:00:00
2795,POLICE OFFICER,POLICE,$75372.0,2000-06-01 00:00:00
2796,LIBRARIAN II,PUBLIC LIBRARY,$76524.0,2000-04-25 00:00:00
2797,DEPUTY DISTRICT CHIEF,FIRE,$148914.0,2000-02-26 00:00:00
2798,POLICE OFFICER,POLICE,$78012.0,2000-01-01 00:00:00
2799,BATTALION CHIEF,FIRE,$126402.0,2000-04-04 00:00:00
2800,SANITATION LABORER,STREETS & SAN,$70969.6,2000-04-05 00:00:00
2801,FIRE ENGINEER,FIRE,$87372.0,2000-09-23 00:00:00
2802,FIRE ENGINEER-EMT,FIRE,$91740.0,2000-05-15 00:00:00
2803,FIREFIGHTER,FIRE,$87324.0,2000-09-26 00:00:00
2804,LIEUTENANT,FIRE,$102978.0,2000-08-05 00:00:00
2805,POLICE OFFICER,POLICE,$75372.0,2000-10-10 00:00:00
2806,CAPTAIN,POLICE,$125790.0,2000-05-25 00:00:00
2807,BATTALION CHIEF - EMT,FIRE,$132720.0,2000-10-14 00:00:00
2808,POLICE OFFICER,POLICE,$80724.0,2000-04-18 00:00:00
2809,POLICE OFFICER,POLICE,$75372.0,2000-07-15 00:00:00
2810,MANAGING DEPUTY COMMISSIONER,WATER MGMNT,$139488.0,2000-03-12 00:00:00
2811,HOISTING ENGINEER,WATER MGMNT,$95888.0,2000-01-27 00:00:00
2812,SENIOR LIBRARY CLERK,PUBLIC LIBRARY,$50280.0,2000-03-06 00:00:00
2813,CROSSING GUARD,POLICE,$19000.8,2000-05-27 00:00:00
2814,FIRE ENGINEER,FIRE,$93192.0,2000-07-27 00:00:00
2815,ADMINISTRATIVE ASST II,ADMIN HEARNG,$60600.0,2000-09-23 00:00:00
2816,SANITATION LABORER,STREETS & SAN,$70969.6,2000-07-25 00:00:00
2817,SANITATION LABORER,STREETS & SAN,$70969.6,2000-05-24 00:00:00
2818,DETENTION AIDE,POLICE,$46656.0,2000-06-04 00:00:00
2819,HOSPITALITY WORKER,FAMILY & SUPPORT,$9516.0,2000-11-26 00:00:00
2820,POLICE OFFICER,POLICE,$80724.0,2000-09-04 00:00:00
2821,MOTOR TRUCK DRIVER,STREETS & SAN,$71468.8,2000-05-10 00:00:00
2822,HUMAN SERVICE SPECIALIST II,FAMILY & SUPPORT,$66492.0,2000-08-17 00:00:00
2823,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-11-10 00:00:00
2824,FINGERPRINT TECHNICIAN II,POLICE,$69648.0,2000-06-11 00:00:00
2825,ASST PRESS SECRETARY,MAYOR'S OFFICE,$93000.0,2000-07-23 00:00:00
2826,LIEUTENANT-EMT,FIRE,$98394.0,2000-05-02 00:00:00
2827,POLICE OFFICER,POLICE,$75372.0,2000-07-21 00:00:00
2828,OPERATING ENGINEER-GROUP C,AVIATION,$91457.6,2000-07-25 00:00:00
2829,POLICE OFFICER,POLICE,$80724.0,2000-02-05 00:00:00
2830,PROJECT COORD,AVIATION,$73752.0,2000-02-07 00:00:00
2831,POLICE OFFICER,POLICE,$61530.0,2000-10-26 00:00:00
2832,FIREFIGHTER-EMT,FIRE,$79140.0,2000-09-19 00:00:00
2833,POLICE OFFICER,POLICE,$80724.0,2000-06-08 00:00:00
2834,CITY PLANNER IV,TRANSPORTN,$83640.0,2000-06-10 00:00:00
2835,OPERATING ENGINEER-GROUP C,WATER MGMNT,$91457.6,2000-04-16 00:00:00
2836,POLICE OFFICER,POLICE,$78012.0,2000-07-04 00:00:00
2837,DETENTION AIDE,POLICE,$73032.0,2000-08-04 00:00:00
2838,POLICE OFFICER,POLICE,$78012.0,2000-01-09 00:00:00
2839,FIREFIGHTER-EMT,FIRE,$79140.0,2000-08-08 00:00:00
2840,POLICE OFFICER,POLICE,$83706.0,2000-07-22 00:00:00
2841,POLICE OFFICER,POLICE,$80724.0,2000-06-01 00:00:00
2842,CLERK IV,PUBLIC LIBRARY,$55212.0,2000-02-17 00:00:00
2843,COMMUNICATIONS OPERATOR I - 311,OEMC,$55212.0,2000-05-24 00:00:00
2844,FOSTER GRANDPARENT,FAMILY & SUPPORT,$2756.0,2000-01-14 00:00:00
2845,SERGEANT,POLICE,$102564.0,2000-12-05 00:00:00
2846,POLICE OFFICER,POLICE,$78012.0,2000-10-23 00:00:00
2847,FIREFIGHTER/PARAMEDIC,FIRE,$83856.0,2000-05-11 00:00:00
2848,POLICE OFFICER,POLICE,$65016.0,2000-07-05 00:00:00
2849,REPROGRAPHICS TECHNICIAN III,GENERAL SERVICES,$57648.0,2000-03-11 00:00:00
2850,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,$48012.0,2000-08-06 00:00:00
2851,LIBRARY PAGE,PUBLIC LIBRARY,$11044.8,2000-04-11 00:00:00
2852,POLICE OFFICER,POLICE,$78012.0,2000-03-12 00:00:00
2853,ELECTRICAL MECHANIC,WATER MGMNT,$89440.0,2000-11-08 00:00:00
2854,POLICE OFFICER,POLICE,$83706.0,2000-07-23 00:00:00
2855,POLICE OFFICER,POLICE,$83706.0,2000-02-02 00:00:00
2856,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-05-18 00:00:00
2857,ADMINISTRATIVE SUPVSR,ADMIN HEARNG,$63276.0,2000-04-16 00:00:00
2858,POLICE OFFICER,POLICE,$83706.0,2000-01-23 00:00:00
2859,POLICE OFFICER,POLICE,$83706.0,2000-06-25 00:00:00
2860,ADMINISTRATIVE ASST III,STREETS & SAN,$76428.0,2000-04-21 00:00:00
2861,POLICE OFFICER,POLICE,$80724.0,2000-10-27 00:00:00
2862,LIEUTENANT,FIRE,$102978.0,2000-11-15 00:00:00
2863,BRIDGE OPERATOR,TRANSPORTN,$60156.0,2000-06-12 00:00:00
2864,SENIOR CITY FORESTER,TRANSPORTN,$83640.0,2000-10-22 00:00:00
2865,POLICE OFFICER,POLICE,$43104.0,2000-06-02 00:00:00
2866,POLICE OFFICER,POLICE,$43104.0,2000-06-09 00:00:00
2867,POLICE OFFICER,POLICE,$80724.0,2000-11-28 00:00:00
2868,LEGISLATIVE AIDE,CITY COUNCIL,$28128.0,2000-03-19 00:00:00
2869,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-10-13 00:00:00
2870,FINGERPRINT TECHNICIAN I,POLICE,$57828.0,2000-03-12 00:00:00
2871,FIREFIGHTER,FIRE,$50490.0,2000-06-10 00:00:00
2872,PUBLIC HEALTH AIDE,HEALTH,$45828.0,2000-07-11 00:00:00
2873,ADMINISTRATIVE ASST II,FAMILY & SUPPORT,$52740.0,2000-03-06 00:00:00
2874,POLICE OFFICER,POLICE,$75372.0,2000-01-14 00:00:00
2875,POLICE COMMUNICATIONS OPERATOR I,OEMC,$63552.0,2000-03-07 00:00:00
2876,SANITATION LABORER,STREETS & SAN,$70969.6,2000-09-04 00:00:00
2877,CONCRETE LABORER,TRANSPORTN,$53872.0,2000-08-12 00:00:00
2878,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-06-01 00:00:00
2879,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-09-17 00:00:00
2880,FIREFIGHTER,FIRE,$83982.0,2000-03-01 00:00:00
2881,POLICE OFFICER,POLICE,$80724.0,2000-12-05 00:00:00
2882,SENIOR PERSONNEL ASSISTANT,HEALTH,$54672.0,2000-04-09 00:00:00
2883,PUBLIC HEALTH NURSE II,HEALTH,$96300.0,2000-09-27 00:00:00
2884,POLICE OFFICER,POLICE,$80724.0,2000-02-06 00:00:00
2885,POLICE OFFICER,POLICE,$78012.0,2000-04-24 00:00:00
2886,POLICE OFFICER,POLICE,$80724.0,2000-06-07 00:00:00
2887,FIREFIGHTER,FIRE,$50490.0,2000-06-08 00:00:00
2888,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-01-17 00:00:00
2889,POLICE OFFICER,POLICE,$80724.0,2000-05-16 00:00:00
2890,SERGEANT,POLICE,$112566.0,2000-06-12 00:00:00
2891,FIREFIGHTER,FIRE,$50490.0,2000-10-10 00:00:00
2892,LIEUTENANT,POLICE,$122718.0,2000-07-02 00:00:00
2893,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-05-08 00:00:00
2894,CAPTAIN-EMT,FIRE,$121428.0,2000-10-13 00:00:00
2895,BATTALION CHIEF - EMT,FIRE,$132720.0,2000-01-17 00:00:00
2896,PROJECTS ADMINISTRATOR,POLICE,$85020.0,2000-11-01 00:00:00
2897,POLICE OFFICER,POLICE,$80724.0,2000-07-21 00:00:00
2898,LIEUTENANT-EMT,FIRE,$104742.0,2000-05-11 00:00:00
2899,LIBRARIAN III,PUBLIC LIBRARY,$68616.0,2000-09-08 00:00:00
2900,CONCRETE LABORER,TRANSPORTN,$76960.0,2000-12-20 00:00:00
2901,PARAMEDIC I/C,FIRE,$87372.0,2000-07-24 00:00:00
2902,POLICE OFFICER,POLICE,$78012.0,2000-09-02 00:00:00
2903,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-07-03 00:00:00
2904,MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-04-02 00:00:00
2905,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-11-23 00:00:00
2906,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-08-26 00:00:00
2907,POLICE OFFICER,POLICE,$61530.0,2000-06-03 00:00:00
2908,POLICE OFFICER,POLICE,$80724.0,2000-01-07 00:00:00
2909,POLICE OFFICER,POLICE,$83706.0,2000-09-26 00:00:00
2910,LIBRARY PAGE,PUBLIC LIBRARY,$11627.2,2000-03-21 00:00:00
2911,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-03-02 00:00:00
2912,POLICE OFFICER,POLICE,$75372.0,2000-12-06 00:00:00
2913,POLICE OFFICER,POLICE,$83706.0,2000-08-16 00:00:00
2914,POLICE OFFICER,POLICE,$80724.0,2000-11-13 00:00:00
2915,ALDERMAN,CITY COUNCIL,$114996.0,2000-12-21 00:00:00
2916,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-06-22 00:00:00
2917,GARAGE ATTENDANT,GENERAL SERVICES,$45676.8,2000-11-05 00:00:00
2918,POLICE OFFICER,POLICE,$65016.0,2000-05-12 00:00:00
2919,SANITATION LABORER,STREETS & SAN,$70969.6,2000-03-04 00:00:00
2920,SANITATION LABORER,STREETS & SAN,$70969.6,2000-06-23 00:00:00
2921,POLICE OFFICER,POLICE,$78012.0,2000-09-07 00:00:00
2922,FOSTER GRANDPARENT,FAMILY & SUPPORT,$2756.0,2000-07-15 00:00:00
2923,POLICE OFFICER,POLICE,$61530.0,2000-08-20 00:00:00
2924,FOSTER GRANDPARENT,FAMILY & SUPPORT,$2756.0,2000-07-03 00:00:00
2925,LIEUTENANT-EMT,FIRE,$101484.0,2000-03-13 00:00:00
2926,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,$91353.6,2000-04-14 00:00:00
2927,AREA COORD - CAPS,POLICE,$80916.0,2000-11-27 00:00:00
2928,SANITATION LABORER,STREETS & SAN,$70969.6,2000-06-06 00:00:00
2929,LIBRARIAN IV,PUBLIC LIBRARY,$91224.0,2000-08-12 00:00:00
2930,COMMUNICATIONS OPERATOR I - 311,OEMC,$45372.0,2000-02-01 00:00:00
2931,LABORER - APPRENTICE,WATER MGMNT,$61568.0,2000-03-28 00:00:00
2932,STUDENT INTERN - CITY CLERK,CITY CLERK,$10920.0,2000-05-23 00:00:00
2933,POLICE OFFICER,POLICE,$78012.0,2000-09-11 00:00:00
2934,OPERATING ENGINEER-GROUP C,WATER MGMNT,$91457.6,2000-12-07 00:00:00
2935,DETENTION AIDE,POLICE,$46656.0,2000-10-18 00:00:00
2936,CROSSING GUARD,POLICE,$16525.6,2000-07-02 00:00:00
2937,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-09-02 00:00:00
2938,GENERAL LABORER - DSS,STREETS & SAN,$41849.6,2000-11-15 00:00:00
2939,POLICE OFFICER,POLICE,$80724.0,2000-09-27 00:00:00
2940,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-08-21 00:00:00
2941,SANITATION LABORER,STREETS & SAN,$70969.6,2000-12-09 00:00:00
2942,POLICE OFFICER,POLICE,$86130.0,2000-08-04 00:00:00
2943,GENERAL LABORER - DSS,STREETS & SAN,$40560.0,2000-03-18 00:00:00
2944,CONCRETE LABORER,TRANSPORTN,$76960.0,2000-06-20 00:00:00
2945,POOL MOTOR TRUCK DRIVER,TRANSPORTN,$70408.0,2000-07-26 00:00:00
2946,POLICE OFFICER,POLICE,$75372.0,2000-10-28 00:00:00
2947,POLICE OFFICER,POLICE,$83706.0,2000-03-15 00:00:00
2948,POLICE OFFICER,POLICE,$83706.0,2000-06-01 00:00:00
2949,POLICE OFFICER,POLICE,$75372.0,2000-04-23 00:00:00
2950,POLICE OFFICER,POLICE,$78012.0,2000-01-04 00:00:00
2951,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-07-28 00:00:00
2952,TRAFFIC CONTROL AIDE,OEMC,$55248.0,2000-07-19 00:00:00
2953,FOREMAN OF MOTOR TRUCK DRIVERS,STREETS & SAN,$74276.8,2000-02-14 00:00:00
2954,PUBLIC HEALTH NURSE IV,HEALTH,$106212.0,2000-11-13 00:00:00
2955,POLICE OFFICER,POLICE,$75372.0,2000-12-20 00:00:00
2956,CONSTRUCTION LABORER (SUB-FOREMAN),WATER MGMNT,$78624.0,2000-10-20 00:00:00
2957,POLICE OFFICER,POLICE,$78012.0,2000-07-23 00:00:00
2958,CONSTRUCTION LABORER,WATER MGMNT,$76960.0,2000-03-08 00:00:00
2959,FOREMAN OF CONSTRUCTION LABORERS,WATER MGMNT,$79248.0,2000-04-19 00:00:00
2960,DISTRICT MANAGER - HUMAN SERVICES,FAMILY & SUPPORT,$76512.0,2000-06-28 00:00:00
2961,CROSSING GUARD,POLICE,$17316.0,2000-04-27 00:00:00
2962,POLICE OFFICER,POLICE,$83706.0,2000-06-20 00:00:00
2963,HOISTING ENGINEER,WATER MGMNT,$95888.0,2000-11-14 00:00:00
2964,POLICE OFFICER,POLICE,$78012.0,2000-06-04 00:00:00
2965,POLICE OFFICER,POLICE,$78012.0,2000-08-14 00:00:00
2966,PARKING ENFORCEMENT AIDE,FINANCE,$52764.0,2000-03-13 00:00:00
2967,ADMINISTRATIVE SERVICES OFFICER II,COMMUNITY DEVELOPMENT,$84780.0,2000-10-09 00:00:00
2968,SANITATION LABORER,STREETS & SAN,$70969.6,2000-08-27 00:00:00
2969,MOTOR TRUCK DRIVER,WATER MGMNT,$70408.0,2000-02-11 00:00:00
2970,FIREFIGHTER-EMT,FIRE,$84762.0,2000-04-15 00:00:00
2971,FOREMAN OF CEMENT FINISHERS,TRANSPORTN,$92248.0,2000-03-04 00:00:00
2972,CUSTODIAL WORKER,AVIATION,$34008.0,2000-12-11 00:00:00
2973,POLICE OFFICER,POLICE,$75372.0,2000-11-10 00:00:00
2974,POLICE OFFICER,POLICE,$83706.0,2000-03-26 00:00:00
2975,POLICE OFFICER,POLICE,$78012.0,2000-07-28 00:00:00
2976,CLERK III,POLICE,$45828.0,2000-11-09 00:00:00
2977,SERGEANT,POLICE,$99444.0,2000-08-01 00:00:00
2978,AUDITOR IV,FINANCE,$108924.0,2000-09-12 00:00:00
2979,PLUMBER,WATER MGMNT,$95784.0,2000-03-03 00:00:00
2980,LAW CLERK,LAW,$25152.4,2000-05-02 00:00:00
2981,POLICE OFFICER,POLICE,$71748.0,2000-08-23 00:00:00
2982,BRIDGE OPERATOR,TRANSPORTN,$54876.0,2000-11-28 00:00:00
2983,POLICE OFFICER,POLICE,$78012.0,2000-11-13 00:00:00
2984,FIREFIGHTER-EMT,FIRE,$79140.0,2000-09-20 00:00:00
2985,FIREFIGHTER-EMT,FIRE,$84762.0,2000-12-18 00:00:00
2986,POLICE OFFICER,POLICE,$83706.0,2000-05-20 00:00:00
2987,SANITATION LABORER,STREETS & SAN,$70969.6,2000-08-16 00:00:00
2988,INTELLIGENCE ANALYST,OEMC,$49668.0,2000-06-23 00:00:00
2989,SERGEANT,POLICE,$102564.0,2000-07-03 00:00:00
2990,AUDIO EQUIPMENT TECHNICIAN,PUBLIC LIBRARY,$43740.0,2000-11-19 00:00:00
2991,POLICE OFFICER,POLICE,$78012.0,2000-03-21 00:00:00
2992,POOL MOTOR TRUCK DRIVER,STREETS & SAN,$70408.0,2000-07-23 00:00:00
2993,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$93192.0,2000-07-14 00:00:00
2994,SANITATION LABORER,STREETS & SAN,$70969.6,2000-11-24 00:00:00
2995,SERGEANT,POLICE,$102564.0,2000-10-07 00:00:00
2996,POLICE OFFICER,POLICE,$78012.0,2000-05-08 00:00:00
2997,POLICE OFFICER,POLICE,$65016.0,2000-03-25 00:00:00
2998,POLICE OFFICER,POLICE,$61530.0,2000-09-01 00:00:00
2999,POLICE OFFICER,POLICE,$78012.0,2000-10-17 00:00:00
3000,SENIOR DATA ENTRY OPERATOR,IPRA,$57828.0,2000-04-14 00:00:00
3001,POLICE OFFICER,POLICE,$78012.0,2000-11-21 00:00:00
3002,POLICE OFFICER,POLICE,$86130.0,2000-09-17 00:00:00
3003,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,$87372.0,2000-03-15 00:00:00
3004,TRAFFIC CONTROL AIDE-HOURLY,OEMC,$19458.4,2000-06-20 00:00:00
